id,answer
1,A
2,A
3,B
4,A
5,C
6,B
7,C
8,A
9,C
10,C
11,C
12,C
13,B
14,C
15,C
16,C
17,C
18,A
19,A
20,C
21,C
22,C
23,C
24,A
25,C
26,A
27,C
28,A
29,C
30,B
31,A
32,A
33,A
34,C
35,C
36,C
37,C
38,A
39,C
40,A
41,C
42,A
43,A
44,B
45,B
46,A
47,C
48,A
49,C
50,A
51,B
52,C
53,C
54,A
55,A
56,A
57,C
58,A
59,B
60,B
61,C
62,A
63,C
64,B
65,C
66,A
67,C
68,B
69,A
70,C
71,A
72,A
73,B
74,C
75,C
76,A
77,C
78,A
79,A
80,C
81,C
82,C
83,B
84,B
85,B
86,C
87,C
88,A
89,C
90,C
91,C
92,C
93,A
94,A
95,C
96,A
97,C
98,A
99,A
100,C
101,A
102,A
103,C
104,A
105,C
106,A
107,A
108,B
109,A
110,A
111,A
112,A
113,A
114,C
115,C
116,B
117,C
118,B
119,C
120,C
121,A
122,C
123,A
124,B
125,C
126,C
127,A
128,C
129,A
130,B
131,A
132,C
133,C
134,A
135,C
136,A
137,A
138,C
139,A
140,C
141,A
142,A
143,C
144,C
145,A
146,B
147,A
148,C
149,A
150,A
151,A
152,C
153,C
154,A
155,C
156,C
157,C
158,C
159,A
160,A
161,A
162,A
163,C
164,C
165,C
166,A
167,A
168,A
169,C
170,C
171,C
172,A
173,C
174,B
175,A
176,A
177,A
178,B
179,A
180,C
181,A
182,A
183,B
184,B
185,A
186,B
187,C
188,A
189,B
190,A
191,C
192,A
193,A
194,A
195,C
196,C
197,A
198,A
199,B
200,A
201,C
202,C
203,A
204,C
205,A
206,C
207,C
208,B
209,C
210,B
211,A
212,A
213,C
214,C
215,C
216,A
217,B
218,A
219,A
220,C
221,C
222,C
223,A
224,A
225,A
226,A
227,A
228,C
229,B
230,B
231,B
232,A
233,C
234,B
235,C
236,C
237,C
238,C
239,C
240,A
241,A
242,A
243,C
244,C
245,C
246,C
247,B
248,C
249,A
250,C
251,B
252,C
253,B
254,C
255,A
256,A
257,A
258,C
259,A
260,A
261,A
262,A
263,A
264,A
265,C
266,B
267,C
268,B
269,C
270,A
271,C
272,C
273,A
274,C
275,A
276,C
277,C
278,C
279,B
280,C
281,A
282,C
283,A
284,C
285,C
286,A
287,A
288,C
289,A
290,C
291,A
292,A
293,A
294,C
295,A
296,C
297,C
298,C
299,B
300,B
301,A
302,A
303,A
304,C
305,A
306,C
307,A
308,C
309,B
310,A
311,C
312,C
313,A
314,C
315,C
316,A
317,C
318,C
319,C
320,C
321,A
322,C
323,A
324,B
325,B
326,A
327,C
328,C
329,A
330,A
331,C
332,A
333,A
334,A
335,A
336,A
337,B
338,A
339,C
340,A
341,A
342,C
343,C
344,C
345,A
346,A
347,C
348,A
349,B
350,A
351,A
352,C
353,C
354,A
355,C
356,A
357,A
358,C
359,A
360,C
361,A
362,C
363,B
364,B
365,C
366,C
367,A
368,A
369,A
370,C
371,A
372,C
373,A
374,C
375,A
376,B
377,A
378,C
379,A
380,C
381,A
382,C
383,A
384,C
385,A
386,A
387,C
388,C
389,C
390,C
391,A
392,C
393,C
394,A
395,C
396,C
397,C
398,A
399,A
400,B
401,C
402,C
403,C
404,A
405,B
406,C
407,A
408,A
409,C
410,C
411,B
412,C
413,A
414,C
415,B
416,C
417,A
418,C
419,C
420,C
421,C
422,C
423,C
424,C
425,C
426,B
427,C
428,A
429,A
430,B
431,A
432,A
433,A
434,C
435,C
436,A
437,A
438,A
439,C
440,C
441,A
442,A
443,A
444,A
445,C
446,A
447,A
448,A
449,B
450,C
451,A
452,C
453,A
454,A
455,C
456,A
457,C
458,A
459,A
460,A
461,B
462,C
463,B
464,C
465,C
466,C
467,C
468,C
469,C
470,C
471,A
472,A
473,C
474,B
475,A
476,C
477,B
478,A
479,B
480,C
481,B
482,C
483,C
484,A
485,C
486,A
487,C
488,C
489,A
490,C
491,A
492,C
493,B
494,C
495,B
496,A
497,C
498,A
499,A
500,A
501,A
502,C
503,A
504,A
505,A
506,A
507,C
508,B
509,A
510,B
511,A
512,A
513,B
514,A
515,C
516,B
517,C
518,A
519,C
520,B
521,A
522,A
523,C
524,A
525,C
526,B
527,C
528,C
529,A
530,A
531,B
532,A
533,A
534,A
535,A
536,C
537,A
538,C
539,C
540,C
541,A
542,B
543,B
544,C
545,C
546,A
547,C
548,C
549,B
550,C
551,C
552,C
553,A
554,B
555,A
556,A
557,C
558,B
559,C
560,A
561,C
562,A
563,C
564,B
565,C
566,C
567,C
568,A
569,B
570,C
571,C
572,C
573,A
574,C
575,C
576,B
577,C
578,C
579,C
580,A
581,A
582,A
583,A
584,B
585,A
586,C
587,B
588,A
589,C
590,B
591,C
592,C
593,A
594,C
595,B
596,C
597,C
598,C
599,C
600,A
601,A
602,C
603,A
604,C
605,C
606,C
607,B
608,A
609,A
610,C
611,C
612,A
613,A
614,C
615,A
616,C
617,A
618,C
619,A
620,B
621,A
622,A
623,C
624,C
625,A
626,B
627,C
628,B
629,C
630,C
631,C
632,C
633,A
634,C
635,A
636,B
637,A
638,B
639,A
640,C
641,B
642,C
643,A
644,C
645,B
646,A
647,A
648,A
649,A
650,C
651,A
652,C
653,A
654,C
655,A
656,C
657,C
658,C
659,C
660,A
661,C
662,C
663,C
664,A
665,A
666,A
667,C
668,A
669,A
670,A
671,C
672,A
673,A
674,B
675,A
676,C
677,C
678,A
679,C
680,C
681,C
682,A
683,C
684,C
685,C
686,B
687,C
688,B
689,C
690,B
691,A
692,A
693,C
694,A
695,C
696,A
697,C
698,A
699,A
700,A
701,C
702,A
703,A
704,B
705,B
706,C
707,C
708,B
709,A
710,C
711,A
712,B
713,B
714,A
715,C
716,B
717,C
718,A
719,C
720,B
721,A
722,A
723,A
724,A
725,A
726,A
727,A
728,A
729,A
730,C
731,C
732,C
733,C
734,B
735,C
736,C
737,C
738,A
739,B
740,A
741,B
742,C
743,C
744,B
745,A
746,B
747,C
748,A
749,A
750,C
751,A
752,A
753,A
754,B
755,A
756,C
757,C
758,A
759,A
760,A
761,A
762,C
763,A
764,A
765,C
766,C
767,C
768,A
769,C
770,A
771,A
772,C
773,A
774,C
775,C
776,C
777,C
778,A
779,C
780,C
781,A
782,B
783,B
784,A
785,C
786,C
787,C
788,A
789,B
790,B
791,A
792,A
793,B
794,C
795,B
796,B
797,A
798,A
799,A
800,A
801,C
802,B
803,A
804,B
805,C
806,C
807,A
808,C
809,A
810,C
811,C
812,B
813,C
814,A
815,C
816,B
817,B
818,A
819,C
820,A
821,C
822,B
823,C
824,A
825,A
826,C
827,C
828,A
829,B
830,A
831,B
832,B
833,A
834,B
835,C
836,C
837,C
838,A
839,C
840,A
841,A
842,A
843,C
844,A
845,A
846,B
847,A
848,C
849,C
850,C
851,C
852,C
853,C
854,A
855,C
856,C
857,C
858,A
859,C
860,A
861,C
862,A
863,B
864,C
865,C
866,B
867,C
868,A
869,A
870,A
871,A
872,B
873,A
874,B
875,C
876,C
877,B
878,C
879,A
880,C
881,A
882,C
883,A
884,A
885,B
886,C
887,A
888,A
889,C
890,A
891,A
892,C
893,B
894,A
895,A
896,C
897,C
898,B
899,C
900,A
901,A
902,C
903,A
904,C
905,A
906,C
907,A
908,B
909,A
910,A
911,C
912,A
913,C
914,B
915,C
916,B
917,C
918,A
919,A
920,A
921,B
922,A
923,C
924,A
925,C
926,A
927,B
928,C
929,C
930,C
931,A
932,C
933,A
934,A
935,B
936,A
937,A
938,C
939,C
940,B
941,C
942,A
943,C
944,A
945,A
946,A
947,C
948,A
949,C
950,A
951,C
952,A
953,C
954,A
955,C
956,B
957,C
958,A
959,C
960,A
961,C
962,A
963,B
964,C
965,A
966,B
967,A
968,B
969,C
970,B
971,C
972,A
973,A
974,C
975,B
976,C
977,A
978,A
979,C
980,C
981,C
982,B
983,C
984,C
985,C
986,C
987,B
988,C
989,A
990,C
991,B
992,C
993,C
994,A
995,A
996,A
997,B
998,A
999,A
1000,A
1001,A
1002,C
1003,A
1004,C
1005,C
1006,C
1007,C
1008,C
1009,C
1010,A
1011,A
1012,A
1013,A
